fileName	x	y	w	h	bin	lat	lon	cnn
129-12551202 [Converted].pdf	192.50002	9.761111	90.54445	90.54445	1	6015452.5	2116243.0	12551202
738-8335000 [Converted].pdf	192.50002	104.30556	13.286113	13.286113	1	6005820.0	2110167.5	8335000
637-2084000 [Converted].pdf	192.50002	121.59167	12.227779	12.227779	1	6000745.5	2103929.0	2084000
1115-11925000 [Converted].pdf	209.78613	104.30556	11.522223	11.522223	1	5996175.0	2087110.0	11870000
202-11497000 [Converted].pdf	192.50002	137.81944	10.111113	10.111113	1	5992661.5	2100232.0	11497000
1180-3748000 [Converted].pdf	208.7278	121.59167	11.169446	11.169446	1	6009410.5	2098224.0	3748000
1063-7015000 [Converted].pdf	192.50002	151.93056	12.580557	12.580557	1	6010107.0	2091356.8	7015000
528-3807000 [Converted].pdf	206.61113	137.81944	9.758334	9.758334	1	6002641.0	2099906.5	3807000
282-2530000 [Converted].pdf	225.30835	104.30556	9.758334	9.758334	1	5998839.0	2110900.5	2530000
706-2763000 [Converted].pdf	223.89725	119.82778	14.697224	14.697224	1	6012410.5	2118995.2	2763000
1168-13503000 [Converted].pdf	192.50002	168.51112	11.522223	11.522223	1	6011375.5	2092590.2	13503000
257-6129101 [Converted].pdf	209.08058	151.57779	16.81389	16.81389	1	5998049.0	2091085.8	6129101
1007-6949000 [Converted].pdf	242.59447	104.30556	23.163889	23.163889	1	6010245.0	2098578.0	6949000
95-12492000 [Converted].pdf	192.50002	184.03336	22.811111	22.811111	1	6015689.5	2101374.0	12492000
266-4773000 [Converted].pdf	229.89447	138.52501	11.522223	11.522223	1	6002338.5	2095159.8	4773000
1023-10791000 [Converted].pdf	229.89447	154.04723	10.46389	10.46389	1	6006240.0	2097622.8	10791000
138-310000 [Converted].pdf	245.41669	131.46945	15.40278	15.40278	1	6013738.0	2109954.0	310000
404-3751000 [Converted].pdf	219.31113	172.39168	9.758334	9.758334	1	5992145.5	2103121.8	3751000
1355-7500103 [Converted].pdf	233.06946	168.51112	30.925001	30.925001	1	6012995.0	2098690.2	7500103
480-10658000 [Converted].pdf	287.04446	9.761111	17.519445	17.519445	1	6010251.5	2108020.8	10658000
890-10930000 [Converted].pdf	287.04446	31.280556	23.163889	23.163889	1	6013673.0	2098059.8	10930000
405-9996000 [Converted].pdf	245.41669	150.87222	11.169446	11.169446	1	5993808.0	2102571.8	9996000
466-10601000 [Converted].pdf	269.75836	104.30556	10.46389	10.46389	1	6006280.0	2102077.5	10601000
959-7210001 [Converted].pdf	287.04446	58.44445	22.458336	22.458336	1	6010481.0	2096832.5	7208101
585-7088000 [Converted].pdf	269.75836	118.76945	10.46389	10.46389	1	6012033.5	2111922.5	7088000
789-13145202 [Converted].pdf	264.81946	133.23334	29.866667	29.866667	1	6006876.0	2111445.5	13145202
1073-9502000 [Converted].pdf	219.31113	203.43613	10.46389	10.46389	1	6000958.5	2087146.9	9502000
1286-5243000 [Converted].pdf	287.04446	84.90279	10.111113	10.111113	1	6009701.5	2089385.1	5243000
93-9062000 [Converted].pdf	284.22226	104.30556	17.519445	17.519445	1	6015408.5	2101358.5	9062000
1156-12586000 [Converted].pdf	308.5639	9.761111	10.816668	10.816668	1	6010927.5	2094009.2	12586000
739-6811000 [Converted].pdf	233.77502	203.43613	14.344446	14.344446	1	6007901.5	2111327.0	6811000
1187-9909000 [Converted].pdf	216.4889	221.78058	15.050001	15.050001	1	6007720.5	2096133.1	9909000
149-339000 [Converted].pdf	314.20834	24.577778	18.225002	18.225002	1	6011722.0	2110749.8	339000
1074-12182000 [Converted].pdf	301.15558	84.90279	12.933334	12.933334	1	6003125.0	2094652.6	12182000
