JSON/File #,fileName,CNNTEXT,x,y,w,h,bin,w-actual,h-actual
1,1-10064000 [Converted].pdf,10064000,337.8254089,242.2915802,47.6731987,47.6731987,22,16.84565325,16.84565325
2,2-8085099 [Converted].pdf,8085099,245.6074219,125.4176941,30.60520554,30.60520554,28,10.81456026,10.81456026
3,3-8490000 [Converted].pdf,8490000,211.3226624,564.7633667,30.11531448,30.11531448,26,10.64145388,10.64145388
4,4-7919000 [Converted].pdf,7919000,264.1828003,264.2662048,32.99111557,32.99111557,27,11.65763801,11.65763801
5,5-10203000 [Converted].pdf,10203000,28.66807175,421.0552063,28.65976906,28.65976906,28,10.12712688,10.12712688
6,6-6003000 [Converted].pdf,6003000,29.21889877,276.1741943,29.18883324,29.18883324,28,10.31407535,10.31407535
7,7-13333000 [Converted].pdf,13333000,229.8945923,566.2296753,28.70925331,28.70925331,23,10.14461248,10.14461248
8,8-5844000 [Converted].pdf,5844000,344.7087097,566.2296753,28.69398499,28.69398499,23,10.13921731,10.13921731
9,9-5843000 [Converted].pdf,5843000,316.0147095,566.2296753,28.69398499,28.69398499,23,10.13921731,10.13921731
10,10-13335000 [Converted].pdf,13335000,201.1853333,566.2296753,28.70925331,28.70925331,23,10.14461248,10.14461248
11,11-13334000 [Converted].pdf,13334000,172.4760895,566.2296753,28.70925331,28.70925331,23,10.14461248,10.14461248
12,12-7793010 [Converted].pdf,7793010,338.1717224,192.5930939,47.88687134,47.88687134,22,16.92115595,16.92115595
13,13-4909000 [Converted].pdf,4909000,363.9041748,323.7171936,40.12239838,40.12239838,2,14.17752593,14.17752593
14,14-4850000 [Converted].pdf,4850000,173.0010071,363.5270081,28.81960487,28.81960487,28,10.18360596,10.18360596
15,15-4849000 [Converted].pdf,4849000,201.8206024,363.5270081,28.81960487,28.81960487,28,10.18360596,10.18360596
16,16-1288000 [Converted].pdf,1288000,320.0314026,305.3930969,29.0213604,29.0213604,28,10.25489767,10.25489767
17,17-4544000 [Converted].pdf,4544000,171.9381866,421.0552063,28.63311768,28.63311768,28,10.11770943,10.11770943
18,18-6290000 [Converted].pdf,6290000,228.736084,449.7232666,28.56461525,28.56461525,28,10.09350362,10.09350362
19,19-20004000 [Converted].pdf,20004000,315.1950684,478.7348633,39.27767944,39.27767944,24,13.87903867,13.87903867
20,20-4366000 [Converted].pdf,4366000,180.7978363,536.7458496,36.0675354,36.0675354,25,12.74471216,12.74471216
21,21-4367000 [Converted].pdf,4367000,144.7303009,536.7458496,36.0675354,36.0675354,25,12.74471216,12.74471216
22,22-7276000 [Converted].pdf,7276000,394.7199097,271.399292,35.0643158,35.0643158,9,12.3902176,12.3902176
23,23-7277000 [Converted].pdf,7277000,394.7199097,193.6378021,35.0643158,35.0643158,9,12.3902176,12.3902176
24,24-13308000 [Converted].pdf,13308000,262.5974426,276.1741943,29.15454865,29.15454865,28,10.30196065,10.30196065
25,25-4368000 [Converted].pdf,4368000,216.8653717,536.7458496,36.0675354,36.0675354,25,12.74471216,12.74471216
26,26-6219000 [Converted].pdf,6219000,365.1596069,0,33.45924377,33.45924377,27,11.82305434,11.82305434
27,27-6221000 [Converted].pdf,6221000,369.6447449,563.8913574,28.4237957,28.4237957,28,10.04374406,10.04374406
28,28-2063000 [Converted].pdf,2063000,361.4353333,160.3609619,39.81270218,39.81270218,24,14.06809264,14.06809264
29,29-2603000 [Converted].pdf,2603000,361.1008301,536.7458496,36.05086136,36.05086136,25,12.73882027,12.73882027
